Date,Price,Open,High,Low,Vol.,Change %,
23-Aug-17,508,510,516.2,506.6,15.50K,0.24%,
22-Aug-17,506.8,503.7,508,502.6,7.39K,0.36%,
21-Aug-17,505,506.9,506.9,503.2,5.74K,-0.34%,
18-Aug-17,506.7,500.5,506.9,500.1,7.93K,1.34%,
17-Aug-17,500,492.5,500.5,492.3,7.72K,1.48%,
16-Aug-17,492.7,494.3,497.3,490.7,7.62K,-0.32%,
15-Aug-17,494.3,503,504.7,494,10.73K,-1.55%,
14-Aug-17,502.1,506,506.3,500.5,11.43K,-0.95%,
11-Aug-17,506.9,506,509.2,505.2,5.19K,0.14%,
10-Aug-17,506.2,508.9,518.8,504.4,18.44K,-0.98%,
9-Aug-17,511.2,505.7,511.9,505.7,9.50K,1.09%,
8-Aug-17,505.7,501.9,508.7,501.9,5.93K,1.08%,
7-Aug-17,505.7,501.9,508.7,501.9,6.00K,1.08%,
4-Aug-17,500.3,497.6,502.9,494.6,6.27K,0.54%,
3-Aug-17,497.6,500.1,500.1,495,8.39K,-0.68%,
2-Aug-17,501,498.4,502.5,498.4,10.27K,0.52%,
1-Aug-17,498.4,507,507,495.5,12.21K,-2.01%,
31-Jul-17,508.6,510,510,505.1,7.83K,-0.33%,
28-Jul-17,510.3,502.6,513.5,500.4,11.00K,1.29%,
27-Jul-17,503.8,497.6,504.6,497.1,9.11K,1.27%,
26-Jul-17,497.5,488.6,499.9,486,14.30K,1.61%,
25-Jul-17,489.6,495.1,499.8,488,16.96K,-0.89%,
24-Jul-17,494,502,503.9,493,16.14K,-2.14%,
21-Jul-17,504.8,510.4,510.9,504.1,12.96K,-1.10%,
20-Jul-17,510.4,507.5,513.4,507,10.41K,0.57%,
19-Jul-17,507.5,510,513.4,507,10.22K,-0.59%,
18-Jul-17,510.5,507.4,513.7,507.4,11.57K,0.85%,
17-Jul-17,506.2,507.5,510.2,504.7,7.07K,-9.32%,
14-Jul-17,558.2,558.2,558.2,558.2,-,0.72%,
13-Jul-17,554.2,554.2,554.2,554.2,-,-2.08%,
12-Jul-17,566,566,566,566,-,-2.28%,
