Date,Price,Open,High,Low,Vol.,Change %,
8-Sep-17,4326.50,4635.60,4699.60,4130.90,180.36K,-6.67%,
7-Sep-17,4635.60,4618.70,4690.50,4493.20,70.53K,0.37%,
6-Sep-17,4618.70,4409.10,4660.00,4401.50,110.93K,4.75%,
5-Sep-17,4409.10,4267.50,4496.70,4004.60,158.41K,3.32%,
1-Sep-17,4921.90,4735.10,4925.20,4690.20,102.01K,3.94%,
31-Aug-17,4735.10,4583.00,4765.10,4580.10,72.29K,3.32%,
30-Aug-17,4583.00,4597.30,4644.10,4491.80,68.47K,-0.31%,
29-Aug-17,4597.30,4390.30,4647.80,4350.20,100.80K,4.71%,
28-Aug-17,4390.30,4345.80,4403.10,4195.20,75.49K,1.03%,
25-Aug-17,4364.40,4318.40,4461.70,4292.60,82.90K,1.07%,
24-Aug-17,4318.40,4141.10,4364.10,4111.70,72.36K,4.28%,
23-Aug-17,4141.10,4089.70,4255.60,4070.50,96.65K,1.26%,
22-Aug-17,4089.70,4005.10,4142.70,3612.20,169.14K,2.11%,
21-Aug-17,4005.10,4066.60,4097.30,3966.90,90.65K,-1.51%,
18-Aug-17,4105.40,4278.90,4362.70,3978.30,144.40K,-4.06%,
17-Aug-17,4278.90,4387.40,4487.50,4194.10,127.48K,-2.47%,
16-Aug-17,4387.40,4161.70,4398.10,3938.60,112.90K,5.42%,
15-Aug-17,4161.70,4327.90,4436.50,3837.10,211.58K,-3.84%,
14-Aug-17,4327.90,4062.60,4336.70,3978.90,128.46K,6.53%,
11-Aug-17,3654.40,3425.70,3706.50,3409.80,97.56K,6.68%,
10-Aug-17,3425.70,3348.80,3453.80,3322.90,71.00K,2.30%,
9-Aug-17,3348.80,3429.40,3437.10,3251.00,97.06K,-2.35%,
8-Aug-17,3429.40,3401.90,3494.90,3357.10,106.94K,0.81%,
7-Aug-17,3401.90,3232.00,3425.10,3198.50,88.11K,5.26%,
4-Aug-17,2878.50,2810.00,2892.70,2779.50,68.76K,2.44%,
3-Aug-17,2810.00,2720.50,2822.90,2717.60,68.10K,3.29%,
2-Aug-17,2720.50,2747.00,2773.80,2668.90,81.82K,-0.96%,
1-Aug-17,2747.00,2883.30,2946.00,2659.60,123.17K,-4.73%,
31-Jul-17,2883.30,2766.50,2916.30,2723.10,91.12K,4.22%,
28-Jul-17,2806.80,2691.90,2843.80,2683.60,138.91K,4.27%,
27-Jul-17,2691.90,2559.20,2712.90,2547.70,103.83K,5.18%,
26-Jul-17,2559.20,2582.60,2631.70,2441.50,135.50K,-0.90%,
25-Jul-17,2582.60,2763.40,2779.10,2472.60,205.88K,-6.54%,
24-Jul-17,2763.40,2756.60,2798.90,2715.70,83.01K,0.25%,
21-Jul-17,2675.10,2866.00,2874.00,2622.50,193.76K,-6.66%,
20-Jul-17,2866.00,2282.60,2932.80,2282.10,310.34K,25.56%,
19-Jul-17,2282.60,2320.20,2412.40,2243.10,154.32K,-1.62%,
18-Jul-17,2320.20,2233.40,2400.70,2164.60,202.62K,3.89%,
17-Jul-17,2233.40,1914.10,2233.80,1913.80,176.89K,16.68%,
14-Jul-17,2234.20,2362.40,2370.50,2165.40,114.41K,-5.43%,
13-Jul-17,2362.40,2403.10,2436.70,2335.00,88.17K,-1.69%,
